城市,城市shapefile,City,Lat,Long,tarvl_2011,trev_2011,CPIp_2011,CPIb_2011,hprice_2011,pgdp_2011,salary_2011,pop_2011,area_2011,road_2011,hotel_2011,agent_2011,Aspot_2011,railway_2011,darvl_2011,drev_2011,iarvl_2011,irev_2011,tarvl_2012,trev_2012,CPIp_2012,CPIb_2012,hprice_2012,pgdp_2012,salary_2012,pop_2012,area_2012,road_2012,hotel_2012,agent_2012,Aspot_2012,railway_2012,darvl_2012,drev_2012,iarvl_2012,irev_2012,tarvl_2013,trev_2013,CPIp_2013,CPIb_2013,hprice_2013,pgdp_2013,salary_2013,pop_2013,area_2013,road_2013,hotel_2013,agent_2013,Aspot_2013,railway_2013,darvl_2013,drev_2013,iarvl_2013,irev_2013,tarvl_2014,trev_2014,CPIp_2014,CPIb_2014,hprice_2014,pgdp_2014,salary_2014,pop_2014,area_2014,road_2014,hotel_2014,agent_2014,Aspot_2014,railway_2014,darvl_2014,drev_2014,iarvl_2014,irev_2014,tarvl_2015,trev_2015,CPIp_2015,CPIb_2015,hprice_2015,pgdp_2015,salary_2015,pop_2015,area_2015,road_2015,hotel_2015,agent_2015,Aspot_2015,railway_2015,darvl_2015,drev_2015,iarvl_2015,irev_2015,tarvl_2016,trev_2016,CPIp_2016,CPIb_2016,hprice_2016,pgdp_2016,salary_2016,pop_2016,area_2016,road_2016,hotel_2016,agent_2016,Aspot_2016,railway_2016,darvl_2016,drev_2016,iarvl_2016,irev_2016,tarvl_2017,trev_2017,CPIp_2017,CPIb_2017,hprice_2017,pgdp_2017,salary_2017,pop_2017,area_2017,road_2017,hotel_2017,agent_2017,Aspot_2017,railway_2017,darvl_2017,drev_2017,iarvl_2017,irev_2017,tarvl_2018,trev_2018,CPIp_2018,CPIb_2018,hprice_2018,pgdp_2018,salary_2018,pop_2018,area_2018,road_2018,hotel_2018,agent_2018,Aspot_2018,railway_2018,darvl_2018,drev_2018,iarvl_2018,irev_2018,tarvl_2019,trev_2019,CPIp_2019,CPIb_2019,hprice_2019,pgdp_2019,salary_2019,pop_2019,area_2019,road_2019,hotel_2019,agent_2019,Aspot_2019,railway_2019,darvl_2019,drev_2019,iarvl_2019,irev_2019
三亚,三亚市,Sanya,18.2587362917478,109.518556701399,1021.09,128.880003896,100,1,12727.31584,41078,37023.09,73.72999999999999,1915,386.4,65,,,0,528.9,10870,9682,312.442,1100.3807,192.22915625,103,1.03,11430.73412636,45509,39955,78.90000000000001,1915,396.29,53,,,0,463.015,17546,10540.792,265.65,1220.0488,233.3264736192,103.2,1.06296,14245.139118,50328,47323,81.39,1915,404.32,50,,,0,398.362,21723,11802.126,259.9056,1352.7578,269.72547636,102.9,1.09378584,19575.25471603,54584,54641,84.67,1919,429,50,,,0,388.6,25797,13138.978,191.37,1495.7271,302.41834912,100.8,1.10253612672,17997.2534,58486,61502,86.92999999999999,1921,696.4400000000001,44,,,0,358.184,29185,14599.087,169.68,1651.5782,322.40192348,102.6,1.13120206601472,18125.43588,63273,65030,89.89,1915,784.54,42,,,0,448.857,30548,16066.925,254.76,1830.9676,406.176131088,102.9,1.164006925929147,23410.4246906,69780,72826,93.17999999999999,1915,843.9399999999999,40,,,0,692.8,37035,17616.876,530.616,2099.6981,514.0798854,102.5,1.193107099077376,23246.86546,77434,79661,95.83,1915,857.65,43,,,0,716.158,47556,20280.823,582.1,2293.1226,633.09958875,102.9,1.22770720495062,23765.34115,87105,87058,98.84999999999999,1922,1016.48,37,,,0,894.874,57717,22036.352,810.75
三明,三明市,Sanming,26.2697365159918,117.645521167821,1564.0529,182.59728376,100,1,4781.12564,48376,37601.84,251,23094,332,38,,,0,40.529,18040,15600,34.02,1262.2759,81.08496875,102.3,1.023,5343.10069259,53244,41941,250.4,23094,332,39,,,0,48.659,7850,12574.1,40.95,1484.8405,110.01126856,102.4,1.047552,6060.86114735,58938,46552,251,22965,346,46,,,0,45.805,10756,14802.6,39.58,1724.4107,131.10617464,102,1.06850304,,64590,52087,251,22965,355,,,,0,52.407,12838,17191.7,44.38,1947.2374,150.02392276,101.4,1.08346208256,,67978,57807,253,22965,357.52,,,,0,5.274,14701,19467.1,48.39,2293.1302,190.84474599,101.1,1.09538016546816,,73261,62712,255,23095,326,,,,0,65.102,18705,22866.2,57.13,2757.0005,246.03036542,100.7,1.103047826626437,5810.079184115174,83440,71555,257,22965,327.27,,,,0,77.705,24119,27492.3,71.69,3312.6489,330.33608324,101.4,1.118490496199207,7006.584491428216,91406,81998,258,22965,365,,,,0,95.589,32390,33030.9,97.26000000000001,3826.7251,416.85995215,102.7,1.148689739596586,7000.401750787643,100641,86559,259,22965,368,,,,0,104.261,40877.56,38162.99,117.19
三门峡,三门峡市,Sanmenxia,34.7783272494599,111.206533223874,1473.85,116.98,100,1,2443.287037,46049,33628.16,222.17,10496,289,24,53,9,0,46.029,9661,17277,8.359999999999999,1757,150,102.5,1.025,2897.71176656,50405.56226246,39387,218.52,10496,288.9,25,54,13,0,52.596,12115.09,20283.2,12.6262,2054,176,102.51968068,1.05082672697,3150.53555751,53863.27158249,42929.23447347,216.38,10496,316.3,24,55,15,0,61.519,15670.47,22685.819,16.624,2374,203,101.51289214,1.066724601927348,3252.251579,55260,44357.84,215,10496,326,25,54,16,0,67.548,17513.46,25316.6,18.161,2687,226,101.48681019,1.082584772008041,3243.992977,55681,44573,211.16,10496,486.58,25,57,19,0,73.762,20263.08,28911.6,19.67,3028,258,101.26413618,1.096270117790165,3221.866062,58894,46479,207.82,10496,580.8,18,55,19,0,87.557,23560.86,32080,-100,3468,302,100.7,1.103944008614696,3491.531012,63977,57207,205.31,10496,620.67,16,44,20,0,102.606,29502,34578.9,25.6449,4319,372,101.94469368,1.125412337980965,3991.877206,67275,64578,203.34,10496,651.79,16,47,19,0,112.332,35404,40861,26.72,5017,433,102.2,1.150171409416546,4030.83444395,69400.38977699001,66132,202.02,10496,665.95,17,47,19,0,117.169,37843,43785.1,37
上海,上海|上海,Shanghai,31.235929042252,121.480538860176,23896.57,3163.37098,100,1,13448.3,86061,77031,2347.46,6340.5,26176,297,,,289,8175.7,278650,230790,5835,25894.4,3578.45065,102.8,1.028,13869.88817239,90127,80191,2399,6340,26813,278,,,284,8004,322608.69,250940,5582,26748.0807,3298.531084,102.3,1.051644,16192.151,96773,91477,2448,6340,27290,271,,,310,7574.007,296800,259906.8,5337,27609.3,3299.14674,102.7,1.080038388,16415.42806767,104402,100623,2467,6340,27918,255,,,310,7913,294870,268180,5705,28369.58,3375.94264,102.4,1.105959309312,21501.09724616,111081,100966,2458,6341,28567,247,,,358,8001.6,300473,275694.2,5960,30474.97,3877.67219,103.2,1.141350007209984,25910.00272453,123628,120503,2467,6340.5,29250,238,,,358,8543.700000000001,344393,296206,6530,32718.28,4484.92758,101.7,1.160752957332554,24866.13198968,136109,130765,2466,6341,29841,229,,,390,8730.1,402513,318452.7,6810,34870.58,4964.918554,101.6,1.179325004649875,28981.10571,148744,142983,2475,6341,30281,206,,,415,8937.1,447715,339768.7,7371,37037.74,5367.11836,102.5,1.208808129766122,32925.7590308,157279,160256,2481,6341,30839,195,,,415,8972.299999999999,478930,361405.1,8376
上饶,上饶市,Shangrao,28.4606259218517,117.949459603122,1871.25,139.21519064,100,1,3191.737771,16813,27401.7,658.0896,22791,759.11,47,,,0,152.5,13600,18560,49.78,2503.83,167.63789375,102.6,1.026,3578.59781331,19077,33104.57,657.1623999999999,22791,884.6999999999999,51,,,0,178.3,16400,24860,57.63,3469.74,271.86517612,102.7,1.053702,4092.29805904,21061,40937.15,656.4159999999999,22791,938.9,49,,,0,187.4,26800,34510,62.41,4305.3,387.020320588,102.3,1.077937146,4894.343067,23221,43560.25,655.5183,22791,939,59,,,0,223.4,38263,42829.6,71.471,5298.6401,534.3969266004,101.2,1.090872391752,4523.677759,24633,50414,654.5755,22791,1432.86,53,,,0,252.201,52949,52734.2,78.7831,6459.263800000001,734.7407873253001,101.7,1.109417222411784,4490.770443,26996,54322,653.4153,22791,1493.86,51,,,0,258.838,72912,64333.8,84.6211,6603.1345,825.5458267258,102.1,1.132714984082432,5197.328887,30372,58376,652.8461,22757,1668.86,47,,,0,233.845,81976,65797.5,85.6931,8002.68,1016.0174264012,102.29119895,1.158667737904221,5988.923349,32555,64315,651.8075,22757,1693.1,45,,,0,272.5,100928,79754.3,101.8138,9349.720000000001,1190.447754486,102.38328785,1.186282125323562,6406.69150169,36839,69145,650.2694,22757,1746.5,45,,,0,282.6,118194,93214.60000000001,123.3276
东莞,东莞市,Dongguan,23.0273084116433,113.758420457876,1686.133,249.009191352,100,1,7644.717205,57525.61153747,49898.54,825.48,2472,12807,91,,,0,2861.4,19025,13999.93,909.754,1735.3915,306.2910716875,102.86569,1.0286569,8099.61395931,57632.7209252,57007,924.45,2460,12943,89,,,15,3033.384,22617,14320.531,1269.2447,1795.2512,346.439911614,101.88911,1.04808936036359,8736.7580645,60842.92665113,42870,992.5200000000001,2460.01,13322,89,,,0,3143.939,25665,14808.573,1449.8145,1758.51,374.56480004,102.27599,1.071943769396529,9155.824216000001,63064.76668312,47599.51,995.7299999999999,2460.01,13947,63,,,0,2733,27782,14852.1,1574.93,1878.7593,396.03865012,101.4,1.086950982168081,9641.55320513,66810.37257971001,53221,999.5700000000001,2460.0847,14244.4,59,,,0,2545.536,29779,16242.057,1577.43,2007.6669,445.43606471,102.71169143,1.116425738799834,13780.11644,72027.52873082001,57649,1016.58,2460.08,14055,38,,,15,2534.392,34223,17542.277,1553.77,2161.48,488.89657476,101.36973526,1.13171781579589,17271.29573,78637.36024400999,61619,1038.22,2460.08,12743.89,33,,,15,2542.6,38115,19072.2,1595.82,2186.4613,529.3713226536,102.49885798,1.159997836746988,18042.271,84708.42991561,69937,1043.77,2460.08,12332.62,31,,,15,2507.161,42150,19357.452,1630.1164,2301.6365,573.9906538,103.5,1.200597761033132,19909.8153,90696.05996172001,74017,1045.5,2460.08,12311.46,29,,,15,2510.109,46423,20506.256,1591.08
东营,东营市,Dongying,37.4396418263233,118.681384935136,779.13,56.864642528,100,1,4086.340551,90569,45608.44,,7950,1905.5,29,,,0,43.3,5420,7748,41.256,943.4266,70.608277625,102.4,1.024,4919.26552026,100194,50194.16,207.26,7950,2022.36,29,,,0,53.266,6740,9381,50.8242,1103.13,84.7055374836,102,1.04448,4796.36763897,107862,56814,208.49,8243,2267,28,,,0,55.1,8175,10976.2,47.7223,1249.6122,98.90518539999999,101.4,1.05910272,4819.65545,113326,60773.71,209.91,8243,2296,31,,,0,56.122,9580,12440,50.55,1384.0842,113.031543056,101.5,1.0749892608,5379.675018,113871,67466,211.06,8243,2356.7,28,,,0,57.542,10980,13783.3,51.884,1509.1239,129.1350885716,101.7,1.0932640782336,5179.981875,114510,73129,213.21,8243.2616,2759.95,28,,,0,59.839,12563,15031.4,52.7692,1700.33,148.635995502,101.4,1.108569775328871,5354.112304,122949,76938,215.46,8243.2721,2777.5,22,,,0,62,14493,16941.3,54.889,1843.3495,182.454255256,102.8,1.139609729038079,6242.08568489,128727,89503,217.21,8243.2721,2814.78,22,,,0,63.695,17905,18369.8,51.444,2017.7,205.7002227855,102.9,1.172658411180183,7012.85888688,134022,100224,217.97,8243,2860.46,24,,,0,65.09999999999999,20255.49,20111.9,45.5943
中卫,中卫市,Zhongwei,37.5057014187029,105.203570900887,199.07,12.24262808,100,1,2451.262996,19624,36331.46,108.2268,17441,366,12,,,0,2.7,1220,1988,.66,220.24,14.43598125,102,1.02,2765.28735727,22779,39770.39196209,108.5703,17447.61003882,536,13,,,0,2.4,1440,2200,.57,297,18.0793637008,103.4,1.05468,3257.29294538,25759,45262.28278734,109.2356,17447.61003882,542,,,,0,3.4,1798,2966.6,1.6044,336.84,20.96,101.7,1.07260956,3077.75254961,26354,48933.71,108.9865,17448,542,,,,0,4.6,2079.6632234,3363.8,2.6595,430,33,101.8,1.09191653208,3481.238732,27857,55473,108.6831,17448.09,542.14,,,,0,6.7,2358.80356988,3839.3,3.7243,550,42.3,101.7,1.110479113125361,3529.114396,29549,60520,108.7148,17448.09,423.0000000000001,,,,0,-100,-100,-100,-100,682,53.6,101.8,1.130467737161617,3584.551861,32374,64448,108.0016,17448.09,549,,,,0,10.6,3785,5026.5,7.0555,760,62,102.2,1.155338027379173,3764.556839,34653,74473,107.8702,17561.72,576,,,,0,-100,-100,-100,-100,853,70,101.3,1.170357421735102,3900.98978418,37358,80012,107.3198,17561.72,588,,,,0,31.6,5305,6010.8,15.9283
中山,中山市,Zhongshan,22.5223146707905,113.399422362631,665.2747000000001,151.314506606,100,1,5825.032014,64947.60881585,48420.3,314.23,1800,1796,36,,,0,608.1609999999999,13535,6044.586,247.1745,800.2538000000001,180.68399125,102.28485,1.0228485,5300.22585145,66859.65505247,55480,354.76,1784,755,33,,,0,558.573,16681,7443.965,219.786,861.4225,198.0059078124,101.57143,1.03892184818355,5798.89914657,67972.59866452,48449,372.02,1783.67,1047,30,,,0,537.7430000000001,18321,8076.482,238.9057,902.1600000000001,210.2183678,102.17782,1.061547695977661,5865.363388,67954.91555529,53125.99,387.48,1783.67,1069,29,,,0,602.1,18065,8419.5,481.35,986.8655000000001,227.60741412,100.8,1.070040077545482,5766.31426083,69128.61459025,58776,396.96,1783.665,1092.26,22,,,0,598.125,20902,9270.530000000001,298.43,1117.8057,247.00506331,101.92431314,1.090630999360956,7263.286128,70351.83372358,64790,407.69,1783.67,1072,22,,,0,621.662,22894,10556.395,271.97,1333.52,287.40208386,101.60129958,1.108095268973073,10851.95327,71198.15835283999,68034,418.04,1783.67,1657.08,21,,,0,661.1,26355,12674.1,353.27,1412.1801,294.1073670324,101.405213,1.123666367745068,12082.4226,72118.89332357,74484,428.82,1783.67,1481.34,15,,,0,782.893,27609,13338.908,272.2726,1496.2738,303.7497408,103.10175797,1.158519778862809,12524.88379,72013.99922332,85691,438.73,1783.67,1713.54,15,,,0,830.934,28269,14131.804,305.28
临汾,临汾市,Linfen,36.0937418954197,111.52553022403,1377.3,121.432074172,100,1,2708.265033,26220,28522.78,428.0772,20275,505,44,,,0,120,11980,13653,25.269,1754.3408,159.936875,103.03668,1.0303668,2779.75300674,28031,34555,423.9523,20275,509.9999999999999,43,,,0,145.408,15798,17398,31,2150.7238,195.0035283128,102.41428,1.05524273957904,3443.29392868,27949,39222,419.9106,20275,528,40,,,0,163.438,19283,21343.8,35.0954,2630.1628,242.3185493988,101.73345433,1.073534890540284,3983.34766847,27557,41293,416.5278,20275,636,,,,0,34.228,24144,26267.4,14.3021,3179.1348,294.9560600076,102.53805,1.100781742829641,3940.65485,26239,47543,413.2508,20275,713,,,,0,36.148,29402,31755.2,15.0289,4027.9096,375.1950164359,100.50977291,1.106393229952813,4128.004184,27102,49984,410.3716000000001,20275,720,,,,0,38.196,37414,40240.9,15.8833,5255.4388,484.0676580446,100.35301314,1.110298943434617,4079.425634,29539,56013,407.6342,20275,748,,,,0,40.688,48293,52513.7,16.8497,6880.662000000001,634.0636300856,102.02737045,1.132808816120472,4475.1680745,32066,62471,403.3039,20275,723,,,,0,42.32,63290,68764.3,17.5844,8346.885399999999,768.0430309915,102.74557329,1.163910912402641,4937.75395666,32155,65203,400.0132,20275,739.28,,,,0,42.954,76681,83425.89999999999,17.8739
临沂,临沂市,Linyi,35.1106712423651,118.363533005013,3664.37,292.849864336,100,1,3154.955254,26237,37445.64,1009.1,17191,3928.5,56,,,0,146.7,28700,36497,90.572,4275.5861,358.849019875,101.3,1.013,3885.35688006,28404,42137.86,1012.44,17191,3920.78,54,,,0,188.861,35170,42567,113.2518,4760.9411,413.7670494564,101.6,1.029208,3740.0990099,31312,45140,1015.9,17191,4153,48,,,0,181.811,40743,47427.6,102.3227,5193.126600000001,469.692239972,102.1,1.050821368,4035.566609,33249,49310.79,1022.1,17191,4663,,,,0,177.266,46370,51754,97.54900000000001,5663.5401,534.908254164,101.2,1.063431224416,3980.694181,35060,56312,1031.16,17191,4798.57,,,,0,175.401,52880,56460,98.071,6180.8495,610.3159896761999,101.7,1.081509555231072,4242.947191,36719,60039,1044.3,17191.213,4410.39,,,,0,182.495,60360,61626,101.1094,6799.539999999999,700.303922402,101.4,1.096650689004307,4769.892123,38674,63440,1056.34,17191.213,4512.19,,,,0,187,69359,67808.39999999999,99.43899999999999,7506.8466,801.954649242,102.6,1.125163606918419,5817.51881797,41230,67679,1062.4,17191.213,4732.61,,,,0,192.666,79512,74875.8,103.283,8169,851.4103656205001,102.9,1.157793351519053,6790.68975558,43213,76310,1066.71,17191,5640.49,,,,0,184.4,84480.192685,81505.60000000001,95.7953
临沧,临沧市,Lincang,23.8904685562785,100.095440420148,304.3200000000001,19.543876,100,1,2267.175573,11166,30189.43,244.77,24469,154,20,,,0,49.4,1780,2993.8,27,363.64,22.79886,103.7,1.037,2429.48717949,14376,,246.3,24469,183,21,,,0,55.4,2150,3581,20.576,442.89,30.024436,102.4,1.061888,2755.68707231,16839,39500,247.9,23620,189,21,,,0,61,2860,4367.9,23,580.0304,42.68457119999999,102.6,1.089497088,2999.96771317377,18710,42131.36,249.3,23620,195,,,,0,72.304,4087.8588,5728,29.4,790.75,65.60999999999999,101,1.10039205888,,20077,49045,250.9,23620.146,214,,,,0,94.2,6174.839199999999,7813.3,62,1262.6213,112.0410993527,101.6,1.11799833182208,,21906,59232,252,23620,255,,,,0,120.213,10702.1852,12506,75.56489999999999,1821.5288,177.432415976,101,1.129178315140301,,23942,73132,252.6,23620,267,,,,0,142.888,17119.8344,18072.4,92.33199999999999,2506.1432,256.709585321,101.9,1.150632703127967,,24892,79804,253.6,23620,267,,,,0,180.332,24806.1206,24881.1,130.6915,3133.58,340.06,102.6,1.180549153409294,,29926,88971,253.8,23620,301,,,,0,222,32819.458,31113.8,172
丹东,丹东市,Dandong,40.0064087055936,124.36154728159,2686.154,279.5137028,100,1,3239.552239,36841,27054.62063073,,15290,1024,49,,,0,400.54,26580,26461,213.1,3039.2701,337.0177625,102.91796312,1.0291796312,3495.49417473,42171,28630.35921651,243.1,15290,1050.79,42,,,0,491.701,32020,29900.93,266.42222208,3043.1891,363.75661836,102.1259892,1.051059879007912,3934.21476798,45596,32179.26045295,242.6,15290,1050.79,42,,,0,530.891,34862.6716993,29901,244.73037108,3480.1195,424.23218176,101.60281203,1.067906393191154,4680.53000779,42291.3,32571.17461645,241.8,15290,1055,43,,,0,116.195,41917.03113,34685,81.91675352,3539.8853,312.83967568,101.26802108,1.081447671371485,4488.544288,40850,35790,241.1,15290,1055.83,38,,,0,120.853,30766.628,35278.31207,82.52,4028.1016,361.945955,101.45143158,1.097144144394946,4385.366316,31223,38763,240.6,14967,921.1,41,,,0,134.016,35629.64684,40146.71914,84.9956,4547.22,407.96326312,101.5012675,1.1136152128629,4521.012559,32819,42230,239.5,15290,1765.06,40,,,0,137.2,40210,45335,86.84399999999999,5000.839999999999,457.11463212,102.5325978,1.141818607244331,5076.955945,34193,44077,239.5,15290,1624.06,36,,,0,139.4,45120,49869,89.3792,5608.118399999999,527.0451273,102.39841127,1.169204113403436,5187.22524202,32256,57008,238,15290,1659.78,34,,,0,142.184,52113,55939,86.1816
丽水,丽水市,Lishui,28.4732781805634,119.929573058441,2753.8901,154.02159028,100,1,7384.751515,35399,49070.73,211.6,17298,418,46,,,0,161.901,13230,27377,336.31,3581.9709,205.815525,102.5,1.025,9231.44460028,38798,55003,219.7,17324,423.0000000000001,56,,,0,205.909,17622,35613.8,468.84,4569.6702,266.28653748,102.9,1.054725,8985.374771479999,42223,59783,223.9,17308,423.0000000000001,62,,,0,257.902,22836,45438.8,612.39,5486.423400000001,339.57198528,102.6,1.08214785,9259.653130000001,44263,66100.99000000001,228,17298,433,,,,0,298.334,29499,54565.9,725.76,6301.6881,426.46547504,101.2,1.0951336242,8847.760989,45138,77238,232.2,17298,440.6900000000001,,,,0,313.381,37542,62703.5,819.5599999999999,6557.298,535.82359031,101.7,1.1137508958114,9174.212722,48364,85058,236.8,17324,461.0000000000001,,,,0,345.198,47465,-100,920.97,6823.2738,644.3660138400001,101.5,1.130457159248571,9806.315789,50939,92581,240.4,17275,548,,,,0,379.148,57267,67853.59,1061.88,7293.527,667.87940208,102.5,1.158718588229785,9808.957307000001,55867,103259,244.4,17275,652,,,,0,10.136,66762,-100,3.92,7796.188800000001,781.0407859000001,103.3,1.196956301641368,12441.90571,60214,110875,247.5,17275,694,,,,0,11.888,78070,77950,4.94
丽江,丽江市,Lijiang,26.8606574380648,100.232464529034,1184.05,152.105352,100,1,2619.047619,14279,31467.74,125.41,21219,198,191,,,0,761.2,13570,11079.3,254,1599.1,211.203125,102.8,1.028,3087.64940239,16870,35126.69,126.2,21219,199,187,,,0,847,19296,15144,289,2079.58,278.681656,102.7,1.055756,3865.93204775,19661,42000,126.9,21219,179,291,,,0,996.7,25651,19799.1,358,2663.82,378.79,101.6,1.072648096,,20663,40187.62,127.5,21219,180,258,,,0,1077,35385.0232,25561.2,406,3055.98,483.48,101.8,1.091955761728,,20724,53866,128,20554.3823,180.14,229,,,0,1145.4,45364.5964,29414.4,479,3519.9078,608.7725406623999,101.5,1.10833509815392,,24116,64304,128.5,20554,185,196,,,0,1158.078,57661.1268,34041,484.1888,4069.4537,821.9212411628,99.8,1.106118427957612,,26368,73865,129,20554,190,,,,0,1185.837,78827.6036,39508.7,498.3146,4643.3048,998.4725454818,102.4,1.132665270228595,,27128,85816,129.6,20554,208,,,,0,1194.248,95312.08100000001,45238.8,685.3407,5402.36,1078.26,101.7,1.151920579822481,,36369,97757,130.2,20554,208,,,,0,1084.9,103017.7455,52938.7,697
乌兰察布,乌兰察布市,wulanchabu,41.0007483276738,113.139467674463,241.2407,16.5610764304,100,1,2305.852125,32281.08611162,35469.85,213.46,54492,534.8900000000001,13,22,,0,18.107,1593,2394.3,9.770799999999999,277.96,25.96079375,100,1,2428.06436346,36525,41341,212.94,55000,682,15,23,,0,25.6,2506,2754,14.27,330.375,35.9575326,100,1,2371.41550423,39215,45588,212.3,55000,864,17,28,,0,33.45,3453,3270.3,23.05,382.2592,45.5995532,102.1,1.021,3018.71835672,41138,50108,211.71,54500,885,20,30,,0,40.592,4364,3782,31.9,457.7459000000001,58.165243254,101.2,1.033252,2657.829356,43221,56538,211.13,54500,887.03,19,35,,0,40.859,5628,4536.6,30.2685,554.9415,70.82676114,101.2,1.045651024,2374.734715,44517,65280,210.67,55000,902.2,19,35,,0,42.215,6849,5507.2,35.18,643.9154000000001,95.86916993999999,101.7,1.063427091408,2777.375403,34301,66332,210.25,55000,1041.45,19,50,,0,42.354,9345,6396.8,35.83,759.272,123.20233454,101.8,1.082568779053344,4386.27108784,,68510.49071,209.61,55000,1088.27,23,23,,0,42.42,12074,7550.3,37.21,1280.8082,200.166721943,102.4,1.108550429750624,4751.504473,38622,75047,209.02,55000,1088.27,23,40,,0,38.082,19805,12770,30.6838
乌海,乌海市,Wuhai,39.6620063648907,106.800391049996,109.7986,14.11984967,100,1,3529.957397,89830.29091923,42941.89,54.14,1754,765.9399999999999,11,13,,0,.286,1411,1097.7,.1525,129.597,16.5664125,102.9,1.029,3844.15260162,97617,47547,54.84,1700,755,11,13,,0,.47,1655,1295.5,.26,145.5686,20.34672164,104,1.07016,3857.61642375,104420,53191,55.31,1700,857,11,15,,0,.386,2033,1455.3,.27,164.2767,25.86887116,101.8,1.08942288,5443.69626356,108556,54129,55.42,1754,1013,11,15,,0,.5669999999999999,2584,1642.2,.47,184.9407,32.9680028864,101.4,1.10467480032,4987.37053124,100871,55577,55.58,1669,1429.79,9,14,,0,.607,3294,1848.8,.4496,209.8303,39.87096296,101.4,1.12014024752448,3616.784188,102725,58301,55.83,1700,1424.5,9,14,,0,1.903,3977,2096.4,1.52,293.3021,64.71600325999999,101.4,1.135822210989823,4227.599569,73085,67658,56.11,1700,1435.48,9,16,,0,1.921,6461,2931.1,1.57,301.603,68.92536446,101.6,1.15399536636566,3346.08347039,88041,75242.96339,56.33,1700,1509.64,7,22,,0,1.83,6884,3014.2,1.29,582.4721999999999,87.4944746295,102.4,1.181691255158436,3689.930275,97564.2988,82156,56.61,1700,1509.64,5,16,,0,1.022,8745,5823.7,.6447000000000001
乌鲁木齐,乌鲁木齐市,Urumqi,43.8307632042904,87.6244399353604,1459.6,198.63735892,100,1,4898.431732,50517,47177.78,321.21,13788,2156,98,,,0,291.497,18865.27,14304.503,154.59,1747.87,232.45816875,103.4,1.034,5110.56510381,56411,52418,335,13788,2225,83,,,0,364.299,21992.47,17114.401,198.55,1953.44,273.01377116,103.5,1.07019,5806.14894373,59493,57392,346,13788,2914,64,,,0,350.33,26000,19184.07,210.13,2014.47,249.0291342,102.8,1.10015532,5636.14707259,64155,61617.39,353,13788,3101,,,,0,235.331,24042,19909.369,140.15,2203.400000000001,393.7815896399999,100.7,1.10785640724,6074.84987604,67248,67617,355,13788,3223.55,60,,,0,287.182,38271.31,21746.818,177.71,2533.54,466.80527996,101.5,1.1244742533486,5773.4594233,69865,74339,351.96,13788,3346,55,,,0,317.934,44153,25017.466,380.52,3302.64,607.3816561799999,102.8,1.155959532442361,6143.50750747,77756,80231,350.4,13788,3106,48,,,0,383.682,57838.2,32642.718,429.51,4624,663.2280918399999,102.2,1.181390642156093,7692.65020614,87196,87556,350.58,13788,3368,46,,,0,330.8,65024.74,45909.2,196.16,7526.379999999999,1137.56586745,102,1.205018454999214,8728,96723,92473,355.2,13788,6617,39,,,0,268.342,112900,74995.45799999998,124.17
